class,filename,angle_deg,x1,y1,x2,y2,view_w,view_h,status
1_approach,20251119_130610.jpg,0.00,291,348,291,26,615,820,ok
1_approach,20251119_130610_012_saved.jpg,0.00,287,561,287,132,615,820,ok
1_approach,20251119_131145.jpg,0.12,289,468,290,5,615,820,ok
1_approach,20251119_131658_006_saved.jpg,-0.13,308,463,307,10,615,820,ok
1_approach,20251119_132007.jpg,0.00,303,517,303,7,615,820,ok
1_approach,20251119_154454.jpg,-6.25,294,367,254,2,615,820,ok
1_approach,20251119_154949.jpg,0.42,314,511,317,101,615,820,ok
1_approach,20251119_155329.jpg,-3.11,261,378,243,47,615,820,ok
1_approach,20251119_160548.jpg,-8.03,312,377,265,44,615,820,ok
1_approach,20251119_163652.jpg,-4.59,301,357,273,8,615,820,ok
1_approach,20251119_164334_004_saved.jpg,1.41,308,418,317,52,615,820,ok
1_approach,20251119_164334_017_saved.jpg,3.04,303,451,322,93,615,820,ok
1_approach,20251119_175218.jpg,-1.33,287,429,279,84,615,820,ok
1_approach,20251119_175218_007_saved.jpg,-0.34,295,397,293,64,615,820,ok
1_approach,20251119_175635_007_saved.jpg,-0.44,318,402,315,10,615,820,ok
1_approach,20251120_165640_001_saved.jpg,-0.13,291,438,290,10,615,820,ok
1_approach,20251120_170830_005_saved.jpg,-1.18,310,348,303,9,615,820,ok
1_approach,20251120_170830_018_saved.jpg,2.06,290,396,304,7,615,820,ok
1_approach,20251120_171001_008_saved.jpg,1.52,313,352,321,50,615,820,ok
1_approach,20260708_192159.jpg,-2.13,322,478,308,101,615,820,ok
1_approach,20260708_192208.jpg,17.23,351,455,449,139,615,820,ok
1_approach,20260709_203840.jpg,-0.23,332,538,331,293,615,820,ok
1_approach,20260719_141247.jpg,-6.89,329,503,293,205,615,820,ok
1_approach,20260719_141613.jpg,-33.27,266,467,100,214,615,820,ok
1_approach,20260719_141616.jpg,38.47,375,477,549,258,615,820,ok
1_approach,20260719_141724.jpg,31.08,334,422,466,203,615,820,ok
1_approach,20260719_141731.jpg,-45.14,276,461,64,250,615,820,ok
1_approach,20260721_081349.jpg,0.18,308,538,309,225,615,820,ok
1_approach,20260721_081351.jpg,-21.63,268,466,155,181,615,820,ok
1_approach,20260724_190847.jpg,-51.59,280,521,58,345,615,820,ok
1_approach,20260724_200439.jpg,-31.92,311,462,164,226,615,820,ok
1_approach,20260724_201358.jpg,55.24,295,466,540,296,615,820,ok
1_approach,20260724_202646.jpg,-46.90,292,460,121,300,615,820,ok
1_approach,20260731_013026.jpg,0.27,279,537,280,326,615,820,ok
1_approach,20260731_013137.jpg,-0.65,321,518,318,253,615,820,ok
1_approach,20260731_013420.jpg,53.61,328,530,522,387,615,820,ok
1_approach,20260731_013449.jpg,-53.49,299,539,118,405,615,820,ok
1_approach,20260731_014434.jpg,55.19,214,630,401,500,615,820,ok
1_approach,20260731_015007.jpg,-0.72,308,614,306,454,615,820,ok
1_approach,20260731_015157.jpg,46.49,298,572,456,422,615,820,ok
1_approach,20260731_015858.jpg,-0.70,329,565,326,321,615,820,ok
1_approach,20260731_020007.jpg,-54.95,328,522,127,381,615,820,ok
1_approach,20260731_020029.jpg,49.48,284,617,449,476,615,820,ok
1_approach,20260731_022105.jpg,-64.52,262,443,113,372,615,820,ok
1_approach,20260803_202423.jpg,-52.90,367,519,129,339,615,820,ok
1_approach,20260803_203549.jpg,-50.62,379,640,167,466,615,820,ok
1_approach,20260803_203745.jpg,-55.71,356,681,114,516,615,820,ok
1_approach,20260803_203752.jpg,-52.97,306,604,139,478,615,820,ok
1_approach,20260803_203912.jpg,-55.47,340,580,122,430,615,820,ok
1_approach,20260812_205302.jpg,-53.97,287,563,89,419,615,820,ok
1_approach,20260812_205406.jpg,-50.23,335,596,162,452,615,820,ok
1_approach,20260812_205543.jpg,-64.65,359,642,74,507,615,820,ok
1_approach,20260821_190952.jpg,-56.18,302,590,93,450,615,820,ok
1_approach,20260821_193222.jpg,-45.85,248,501,77,335,615,820,ok
1_approach,20260823_142748.jpg,-45.54,321,548,161,391,615,820,ok
1_approach,20260823_142756.jpg,0.00,297,605,297,297,615,820,ok
1_approach,20260823_143119.jpg,0.00,281,522,281,290,615,820,ok
1_approach,20260823_143123.jpg,47.30,268,516,449,349,615,820,ok
1_approach,20260823_143152.jpg,53.49,228,469,432,318,615,820,ok
1_approach,20260823_143257.jpg,47.67,286,486,443,343,615,820,ok
1_approach,20260823_143300.jpg,-10.96,368,510,325,288,615,820,ok
1_approach,20260823_143304.jpg,-45.59,252,475,105,331,615,820,ok
1_approach,20260823_160517.jpg,-55.97,320,479,129,350,615,820,ok
1_approach,20260823_160522.jpg,-0.29,287,426,286,226,615,820,ok
1_approach,20260823_160802.jpg,50.23,221,438,394,294,615,820,ok
1_approach,20260823_160850.jpg,-16.51,293,478,226,252,615,820,ok
1_approach,20260823_160946.jpg,-13.50,324,507,270,282,615,820,ok
1_approach,20260823_161518.jpg,43.31,240,505,404,331,615,820,ok
1_approach,20260823_161526.jpg,0.00,269,527,269,201,615,820,ok
1_approach,20260823_161533.jpg,-40.85,295,592,97,363,615,820,ok
1_approach,20260823_161553.jpg,-39.17,353,518,186,313,615,820,ok
1_approach,20260823_161654.jpg,25.88,442,515,557,278,615,820,ok
1_approach,20260823_161825.jpg,56.74,282,511,532,347,615,820,ok
1_approach,20260823_162335.jpg,-48.66,257,421,49,238,615,820,ok
1_approach,20260823_162338.jpg,-11.31,354,508,292,198,615,820,ok
1_approach,20260823_162341.jpg,49.18,256,467,476,277,615,820,ok
1_approach,20260823_162421.jpg,47.77,308,514,438,396,615,820,ok
1_approach,20260823_162424.jpg,-2.22,201,519,193,313,615,820,ok
1_approach,20260824_184811.jpg,38.89,250,467,396,286,615,820,ok
1_approach,20260824_184849.jpg,12.95,281,430,324,243,615,820,ok
1_approach,20260824_195646.jpg,-20.77,296,470,230,296,615,820,ok
1_approach,20260824_195651.jpg,-31.02,282,453,193,305,615,820,ok
1_approach,20260824_195707.jpg,33.26,283,439,384,285,615,820,ok
1_approach,20260824_195908.jpg,61.84,234,448,404,357,615,820,ok
1_approach,20260824_195931.jpg,50.69,230,450,379,328,615,820,ok
1_approach,20260824_200049.jpg,-1.16,235,487,231,289,615,820,ok
1_approach,20260824_200122.jpg,12.75,282,462,325,272,615,820,ok
1_approach,20260824_200133.jpg,46.27,273,480,411,348,615,820,ok
1_approach,20260824_200238.jpg,-60.73,410,457,203,341,615,820,ok
1_approach,20260824_200248.jpg,-47.39,280,515,118,366,615,820,ok
1_approach,20260824_200341.jpg,-51.64,296,454,133,325,615,820,ok
1_approach,20260824_200356.jpg,-26.22,307,466,209,267,615,820,ok
1_approach,20260827_200804.jpg,18.68,270,517,342,304,615,820,ok
