class,filename,angle_deg,x1,y1,x2,y2,view_w,view_h,status
on_surface,surf_Surface_001_MP_SEL_SUR_000036.jpg,-0.45,285,643,281,130,615,820,ok
on_surface,surf_Surface_002_MP_SEL_SUR_000144.jpg,0.00,301,530,301,7,615,820,ok
on_surface,surf_Surface_003_MP_SEL_SUR_000312.jpg,0.00,324,642,324,117,615,820,ok
on_surface,surf_Surface_004_MP_SEL_SUR_000390.jpg,-1.88,308,718,293,261,615,820,ok
on_surface,surf_Surface_004_MP_SEL_SUR_000396.jpg,0.00,195,229,195,48,615,820,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000493.jpg,0.00,421,536,421,216,615,820,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000494.jpg,0.00,301,695,301,310,615,820,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000567.jpg,-0.16,311,670,310,319,615,820,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000571.jpg,0.63,303,585,306,310,615,820,ok
on_surface,surf_Surface_005_MP_SEL_SUR_000574.jpg,-0.22,309,600,308,340,615,820,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000621.jpg,-6.03,272,539,225,94,615,820,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000643.jpg,1.56,292,636,300,343,615,820,ok
on_surface,surf_Surface_006_MP_SEL_SUR_000701.jpg,-1.97,329,618,319,328,615,820,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000727.jpg,0.70,345,454,350,46,615,820,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000748.jpg,-1.87,332,676,323,401,615,820,ok
on_surface,surf_Surface_007_MP_SEL_SUR_000839.jpg,4.69,275,512,307,122,615,820,ok
on_surface,surf_Surface_008_MP_SEL_SUR_000957.jpg,-4.12,289,544,259,128,615,820,ok
on_surface,surf_Surface_009_MP_SEL_SUR_001003.jpg,0.19,302,604,303,297,615,820,ok
on_surface,surf_Surface_009_MP_SEL_SUR_001011.jpg,-2.12,300,640,292,424,615,820,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001086.jpg,0.26,291,392,292,169,615,820,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001163.jpg,3.01,300,504,318,162,615,820,ok
on_surface,surf_Surface_010_MP_SEL_SUR_001181.jpg,-0.42,344,591,342,316,615,820,ok
on_surface,surf_Surface_011_MP_SEL_SUR_001277.jpg,-0.40,328,600,326,316,615,820,ok
on_surface,surf_Surface_012_MP_SEL_SUR_001387.jpg,-1.07,316,598,310,277,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001453.jpg,-5.40,317,708,291,433,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001492.jpg,13.41,140,614,186,421,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001505.jpg,5.82,201,495,222,289,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001536.jpg,-3.30,416,578,397,248,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001547.jpg,0.00,285,612,285,354,615,820,ok
on_surface,surf_Surface_013_MP_SEL_SUR_001555.jpg,0.00,380,659,380,316,615,820,ok
on_surface,surf_Surface_014_MP_SEL_SUR_001666.jpg,0.00,282,653,282,351,615,820,ok
on_surface,surf_Surface_015_MP_SEL_SUR_001726.jpg,-4.58,296,546,275,284,615,820,ok
on_surface,surf_Surface_015_MP_SEL_SUR_001743.jpg,0.00,326,703,326,444,615,820,ok
on_surface,surf_Surface_017_MP_SEL_SUR_001964.jpg,0.00,307,670,307,432,615,820,ok
on_surface,surf_Surface_017_MP_SEL_SUR_001983.jpg,-0.53,289,544,287,326,615,820,ok
on_surface,surf_Surface_017_MP_SEL_SUR_002029.jpg,0.00,337,640,337,316,615,820,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002065.jpg,2.84,279,653,292,391,615,820,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002097.jpg,0.29,300,604,301,404,615,820,ok
on_surface,surf_Surface_018_MP_SEL_SUR_002111.jpg,1.28,226,591,232,322,615,820,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002207.jpg,-25.94,336,643,228,421,615,820,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002210.jpg,,,,,,615,820,skipped
on_surface,surf_Surface_019_MP_SEL_SUR_002214.jpg,-0.20,287,554,286,273,615,820,ok
on_surface,surf_Surface_019_MP_SEL_SUR_002254.jpg,0.26,337,500,338,282,615,820,ok
on_surface,surf_Surface_020_MP_SEL_SUR_002308.jpg,-0.27,328,589,327,375,615,820,ok
on_surface,surf_Surface_021_MP_SEL_SUR_002424.jpg,0.00,279,635,279,375,615,820,ok
on_surface,surf_Surface_021_MP_SEL_SUR_002441.jpg,2.70,297,602,308,369,615,820,ok
on_surface,surf_Surface_022_MP_SEL_SUR_002526.jpg,-1.53,315,447,310,260,615,820,ok
on_surface,surf_Surface_023_MP_SEL_SUR_002677.jpg,4.64,431,395,453,124,615,820,ok
on_surface,surf_Surface_023_MP_SEL_SUR_002695.jpg,-3.56,332,639,315,366,615,820,ok
