class,filename,angle_deg,x1,y1,x2,y2,view_w,view_h,status
1_approach,20251119_130610.jpg,0.00,292,334,292,187,615,820,ok
1_approach,20251119_130610_012_saved.jpg,0.00,296,604,296,439,615,820,ok
1_approach,20251119_131145.jpg,0.00,276,455,276,337,615,820,ok
1_approach,20251119_131658_006_saved.jpg,0.00,295,429,295,345,615,820,ok
1_approach,20251119_132007.jpg,0.00,285,426,285,321,615,820,ok
1_approach,20251119_154454.jpg,-2.32,292,382,289,308,615,820,ok
1_approach,20251119_154949.jpg,1.18,322,434,324,337,615,820,ok
1_approach,20251119_155329.jpg,-2.90,253,384,249,305,615,820,ok
1_approach,20251119_160548.jpg,-6.15,282,227,275,162,615,820,ok
1_approach,20251119_163652.jpg,0.86,280,257,281,190,615,820,ok
1_approach,20251119_164334_004_saved.jpg,0.00,303,335,303,274,615,820,ok
1_approach,20251119_164334_017_saved.jpg,1.57,286,390,288,317,615,820,ok
1_approach,20251119_175218.jpg,0.00,315,319,315,253,615,820,ok
1_approach,20251119_175218_007_saved.jpg,0.67,248,387,249,302,615,820,ok
1_approach,20251119_175635_007_saved.jpg,0.68,277,375,278,291,615,820,ok
1_approach,20251120_165640_001_saved.jpg,-0.67,283,342,282,256,615,820,ok
1_approach,20251120_170830_005_saved.jpg,1.79,263,304,266,208,615,820,ok
1_approach,20251120_170830_018_saved.jpg,1.37,309,463,312,338,615,820,ok
1_approach,20251120_171001_008_saved.jpg,-0.69,314,307,313,224,615,820,ok
1_approach,20260708_192159.jpg,-3.18,300,395,296,323,615,820,ok
1_approach,20260708_192208.jpg,19.60,299,441,325,368,615,820,ok
1_approach,20260709_203840.jpg,0.78,316,517,317,444,615,820,ok
1_approach,20260719_141247.jpg,-2.77,313,512,310,450,615,820,ok
1_approach,20260719_141613.jpg,-27.90,250,399,214,331,615,820,ok
1_approach,20260719_141616.jpg,26.90,389,485,424,416,615,820,ok
1_approach,20260719_141724.jpg,22.48,283,447,319,360,615,820,ok
1_approach,20260719_141731.jpg,-35.54,265,492,215,422,615,820,ok
1_approach,20260721_081349.jpg,0.00,274,527,274,428,615,820,ok
1_approach,20260721_081351.jpg,-17.43,274,501,247,415,615,820,ok
1_approach,20260724_190847.jpg,-45.69,309,525,225,443,615,820,ok
1_approach,20260724_200439.jpg,-24.48,308,516,252,393,615,820,ok
1_approach,20260724_201358.jpg,36.19,331,493,391,411,615,820,ok
1_approach,20260724_202646.jpg,-37.38,329,405,274,333,615,820,ok
1_approach,20260731_013026.jpg,1.22,273,545,275,451,615,820,ok
1_approach,20260731_013137.jpg,0.00,305,524,305,430,615,820,ok
1_approach,20260731_013420.jpg,35.08,304,566,363,482,615,820,ok
1_approach,20260731_013449.jpg,-28.07,293,564,245,474,615,820,ok
1_approach,20260731_014434.jpg,29.92,293,628,354,522,615,820,ok
1_approach,20260731_015007.jpg,-0.67,341,593,340,508,615,820,ok
1_approach,20260731_015157.jpg,29.22,285,605,351,487,615,820,ok
1_approach,20260731_015858.jpg,0.00,330,579,330,455,615,820,ok
1_approach,20260731_020007.jpg,-37.63,319,573,245,477,615,820,ok
1_approach,20260731_020029.jpg,26.20,276,621,338,495,615,820,ok
1_approach,20260731_022105.jpg,-36.54,323,500,260,415,615,820,ok
1_approach,20260803_202423.jpg,-37.02,367,558,278,440,615,820,ok
1_approach,20260803_203549.jpg,-40.03,372,645,288,545,615,820,ok
1_approach,20260803_203745.jpg,-35.39,288,694,212,587,615,820,ok
1_approach,20260803_203752.jpg,-30.29,296,635,237,534,615,820,ok
