class,filename,angle_deg,geometric_deg,position,risk_level,weight_added
1_approach,20251119_130610.jpg,0.00,0.00,0,,+0.00
1_approach,20251119_130610_012_saved.jpg,0.00,0.00,0,,+0.00
1_approach,20251119_131145.jpg,0.12,0.12,2,,+0.00
1_approach,20251119_131658_006_saved.jpg,-0.13,-0.13,-1,,+0.00
1_approach,20251119_132007.jpg,0.00,0.00,2,,+0.00
1_approach,20251119_154454.jpg,-6.25,-6.25,0,,+0.00
1_approach,20251119_154949.jpg,0.42,0.42,0,,+0.00
1_approach,20251119_155329.jpg,-3.11,-3.11,2,,+0.00
1_approach,20251119_160548.jpg,-8.03,-8.03,1,,+0.00
1_approach,20251119_163652.jpg,-4.59,-4.59,2,,+0.00
1_approach,20251119_164334_004_saved.jpg,1.41,1.41,1,,+0.00
1_approach,20251119_164334_017_saved.jpg,3.04,3.04,1,,+0.00
1_approach,20251119_175218.jpg,-1.33,-1.33,1,,+0.00
1_approach,20251119_175218_007_saved.jpg,-0.34,-0.34,1,,+0.00
1_approach,20251119_175635_007_saved.jpg,-0.44,-0.44,-1,,+0.00
1_approach,20251120_165640_001_saved.jpg,-0.13,-0.13,2,,+0.00
1_approach,20251120_170830_005_saved.jpg,-1.18,-1.18,-1,,+0.00
1_approach,20251120_170830_018_saved.jpg,2.06,2.06,-1,,+0.00
1_approach,20251120_171001_008_saved.jpg,1.52,1.52,-1,,+0.00
1_approach,20260708_192159.jpg,-2.13,-2.13,0,,+0.00
1_approach,20260708_192208.jpg,17.23,17.23,-1,,+0.00
1_approach,20260709_203840.jpg,-0.23,-0.23,-1,,+0.00
1_approach,20260719_141247.jpg,-6.89,-6.89,0,,+0.00
1_approach,20260719_141613.jpg,-33.27,-33.27,-1,,+0.00
1_approach,20260719_141616.jpg,38.47,38.47,0,,+0.00
1_approach,20260719_141724.jpg,31.08,31.08,1,,+0.00
1_approach,20260719_141731.jpg,-45.14,-45.14,1,,+0.00
1_approach,20260721_081349.jpg,0.18,0.18,0,,+0.00
1_approach,20260721_081351.jpg,-21.63,-21.63,0,,+0.00
1_approach,20260724_190847.jpg,-51.59,-51.59,-1,,+0.00
1_approach,20260724_200439.jpg,-31.92,-31.92,0,,+0.00
1_approach,20260724_201358.jpg,55.24,55.24,0,,+0.00
1_approach,20260724_202646.jpg,-46.90,-46.90,-2,,+0.00
1_approach,20260731_013026.jpg,0.27,0.27,-1,,+0.00
1_approach,20260731_013137.jpg,-0.65,-0.65,0,,+0.00
1_approach,20260731_013420.jpg,53.61,53.61,0,,+0.00
1_approach,20260731_013449.jpg,-53.49,-53.49,-2,,+0.00
1_approach,20260731_014434.jpg,55.19,55.19,2,,+0.00
1_approach,20260731_015007.jpg,-0.72,-0.72,-1,,+0.00
1_approach,20260731_015157.jpg,46.49,46.49,1,,+0.00
1_approach,20260731_015858.jpg,-0.70,-0.70,0,,+0.00
1_approach,20260731_020007.jpg,-54.95,-54.95,-2,,+0.00
1_approach,20260731_020029.jpg,49.48,49.48,1,,+0.00
1_approach,20260731_022105.jpg,-64.52,-64.52,-2,,+0.00
1_approach,20260803_202423.jpg,-52.90,-52.90,-2,,+0.00
1_approach,20260803_203549.jpg,-50.62,-50.62,-2,,+0.00
1_approach,20260803_203745.jpg,-55.71,-55.71,-2,,+0.00
1_approach,20260803_203752.jpg,-52.97,-52.97,-2,,+0.00
1_approach,20260803_203912.jpg,-55.47,-55.47,-2,,+0.00
1_approach,20260812_205302.jpg,-53.97,-53.97,-2,,+0.00
1_approach,20260812_205406.jpg,-50.23,-50.23,-2,,+0.00
1_approach,20260812_205543.jpg,-64.65,-64.65,-2,,+0.00
1_approach,20260821_190952.jpg,-56.18,-56.18,-2,,+0.00
1_approach,20260821_193222.jpg,-45.85,-45.85,-2,,+0.00
1_approach,20260823_142748.jpg,-45.54,-45.54,-2,,+0.00
1_approach,20260823_142756.jpg,0.00,0.00,-2,,+0.00
1_approach,20260823_143119.jpg,0.00,0.00,-1,,+0.00
1_approach,20260823_143123.jpg,47.30,47.30,-1,,+0.00
1_approach,20260823_143152.jpg,53.49,53.49,2,,+0.00
1_approach,20260823_143257.jpg,47.67,47.67,2,,+0.00
1_approach,20260823_143300.jpg,-10.96,-10.96,0,,+0.00
1_approach,20260823_143304.jpg,-45.59,-45.59,-1,,+0.00
1_approach,20260823_160517.jpg,-55.97,-55.97,-2,,+0.00
1_approach,20260823_160522.jpg,-0.29,-0.29,-2,,+0.00
1_approach,20260823_160802.jpg,50.23,50.23,2,,+0.00
1_approach,20260823_160850.jpg,-16.51,-16.51,-2,,+0.00
1_approach,20260823_160946.jpg,-13.50,-13.50,-2,,+0.00
1_approach,20260823_161518.jpg,43.31,43.31,2,,+0.00
1_approach,20260823_161526.jpg,0.00,0.00,1,,+0.00
1_approach,20260823_161533.jpg,-40.85,-40.85,-1,,+0.00
1_approach,20260823_161553.jpg,-39.17,-39.17,-1,,+0.00
1_approach,20260823_161654.jpg,25.88,25.88,-2,,+0.00
1_approach,20260823_161825.jpg,56.74,56.74,-1,,+0.00
1_approach,20260823_162335.jpg,-48.66,-48.66,-2,,+0.00
1_approach,20260823_162338.jpg,-11.31,-11.31,-1,,+0.00
1_approach,20260823_162341.jpg,49.18,49.18,0,,+0.00
1_approach,20260823_162421.jpg,47.77,47.77,1,,+0.00
1_approach,20260823_162424.jpg,-2.22,-2.22,2,,+0.00
1_approach,20260824_184811.jpg,38.89,38.89,2,,+0.00
1_approach,20260824_184849.jpg,12.95,12.95,1,,+0.00
1_approach,20260824_195646.jpg,-20.77,-20.77,-1,,+0.00
1_approach,20260824_195651.jpg,-31.02,-31.02,-1,,+0.00
