no,file,direction,note
A01,left (1).jpg,left,
A02,20251119_130610.jpg,front,
A03,20251119_130610_012_saved.jpg,front,
A04,20251119_131145.jpg,front,
A05,20251119_131658_006_saved.jpg,front,
A06,20251119_132007.jpg,front,
A07,20251119_154454.jpg,front,
A08,20251119_154454_012_saved.jpg,front,
A09,20251119_154949.jpg,front,
A10,20251119_155329.jpg,front,
A11,20251119_160548.jpg,front,
A12,20251119_161645.jpg,front,
A13,20251119_161750_002_saved.jpg,front,
A14,left (1457).jpg,left,
A15,right (1482).jpg,right,
A16,left (1690).jpg,left,
A17,20251119_163652.jpg,front,
A18,20251119_163716_004_saved.jpg,front,
A19,20251119_164334_004_saved.jpg,front,
A20,20251119_164334_017_saved.jpg,front,
A21,20251119_175218.jpg,front,
A22,20251119_175218_007_saved.jpg,front,
A23,20251119_175635_007_saved.jpg,front,
A24,20251119_175635_016_saved.jpg,front,
A25,left (2639).jpg,left,
A26,right (2665).jpg,right,
A27,20251120_165640_001_saved.jpg,front,
A28,20251120_170830_005_saved.jpg,front,
A29,20251120_170830_018_saved.jpg,front,
A30,20251120_171001_008_saved.jpg,front,
A31,20260708_192159.jpg,front,
A32,20260708_192203.jpg,right,
A33,20260708_192208.jpg,front,
A34,20260709_203840.jpg,front,
A35,20260719_141247.jpg,front,
A36,20260719_141613.jpg,right,
A37,20260719_141616.jpg,left,
A38,20260719_141724.jpg,left,
A39,20260719_141731.jpg,right,
A40,20260719_150939.jpg,right,
A41,20260721_081349.jpg,front,
A42,20260721_081351.jpg,front,
A43,20260724_190847.jpg,right,
A44,20260724_200439.jpg,right,
A45,20260724_201358.jpg,left,
A46,20260724_202443.jpg,right,
A47,20260724_202646.jpg,right,
A48,20260731_012218.jpg,right,
A49,20260731_013026.jpg,front,
A50,20260731_013137.jpg,front,
A51,20260731_013420.jpg,left,
A52,20260731_013449.jpg,right,
A53,20260731_014434.jpg,left,
A54,20260731_014838.jpg,front,
A55,20260731_014937.jpg,right,
A56,20260731_015007.jpg,front,
A57,20260731_015012.jpg,front,
A58,20260731_015157.jpg,left,
A59,20260731_015207.jpg,right,
A60,20260731_015235.jpg,right,
A61,20260731_015823.jpg,front,
A62,20260731_015858.jpg,front,
A63,20260731_020000.jpg,front,
A64,20260731_020007.jpg,right,
A65,20260731_020029.jpg,left,
A66,20260731_020157.jpg,front,
A67,20260731_022105.jpg,right,
A68,20260803_202423.jpg,right,
A69,20260803_203549.jpg,right,
A70,20260803_203745.jpg,right,
A71,20260803_203752.jpg,right,
A72,20260803_203912.jpg,right,
A73,20260809_180436.jpg,right,
A74,20260812_205302.jpg,right,
A75,20260812_205406.jpg,right,
A76,20260812_205543.jpg,right,
A77,20260821_193222.jpg,right,
