idx,sheet,file,current_class,new_class,note
0,r00,left (1).jpg,left,,
1,r00,left (2).jpg,left,,
2,r00,20251119_130610.jpg,front,,
3,r00,20251119_130610_011_saved.jpg,front,,
4,r00,20251119_130610_012_saved.jpg,front,,
5,r00,20251119_130610_033_saved.jpg,front,,
6,r00,20251119_130610_073_saved.jpg,front,,
7,r00,left (210).jpg,left,,
8,r00,left (211).jpg,left,,
9,r00,right (10).jpg,right,,
10,r00,right (11).jpg,right,,
11,r00,20251119_131145.jpg,front,,
12,r00,20251119_131146_078_saved.jpg,front,,
13,r00,20251119_131146_092_saved.jpg,front,,
14,r00,20251119_131206_004_saved.jpg,front,,
15,r00,20251119_131206_025_saved.jpg,front,,
16,r00,20251119_131206_029_saved.jpg,front,,
17,r00,20251119_131206_040_saved.jpg,front,,
18,r00,20251119_131206_041_saved.jpg,front,,
19,r00,20251119_131206_069_saved.jpg,front,,
20,r00,left (235).jpg,left,,
21,r00,right (272).jpg,right,,
22,r00,right (273).jpg,right,,
23,r00,20251119_131658_006_saved.jpg,front,,
24,r01,20251119_131658_009_saved.jpg,front,,
25,r01,20251119_131658_023_saved.jpg,front,,
26,r01,20251119_131658_098_saved.jpg,front,,
27,r01,20251119_131658_099_saved.jpg,front,,
28,r01,20251119_131658_100_saved.jpg,front,,
29,r01,20251119_132007.jpg,front,,
30,r01,20251119_132013_049_saved.jpg,front,,
31,r01,20251119_132013_100_saved.jpg,front,,
32,r01,left (443).jpg,left,,
33,r01,left (444).jpg,left,,
34,r01,left (508).jpg,left,,
35,r01,20251119_153628.jpg,front,,
36,r01,left (676).jpg,left,,
37,r01,left (717).jpg,left,,
38,r01,left (718).jpg,left,,
39,r01,20251119_154454.jpg,front,,
40,r01,20251119_154454_012_saved.jpg,front,,
41,r01,20251119_154454_100_saved.jpg,front,,
42,r01,20251119_154949.jpg,front,,
43,r01,right (559).jpg,right,,
44,r01,right (569).jpg,right,,
45,r01,20251119_155329.jpg,front,,
46,r01,20251119_155329_086_saved.jpg,front,,
47,r01,20251119_155329_089_saved.jpg,front,,
48,r02,20251119_155329_099_saved.jpg,front,,
49,r02,20251119_155329_100_saved.jpg,front,,
50,r02,left (949).jpg,left,,
51,r02,left (950).jpg,left,,
52,r02,left (951).jpg,left,,
53,r02,20251119_160548.jpg,front,,
54,r02,20251119_160548_024_saved.jpg,front,,
55,r02,20251119_160548_025_saved.jpg,front,,
56,r02,20251119_160548_051_saved.jpg,front,,
57,r02,20251119_160555_055_saved.jpg,front,,
58,r02,20251119_160555_068_saved.jpg,front,,
59,r02,20251119_160555_081_saved.jpg,front,,
60,r02,left (1159).jpg,left,,
61,r02,left (1183).jpg,left,,
62,r02,left (1184).jpg,left,,
63,r02,right (855).jpg,right,,
64,r02,right (908).jpg,right,,
65,r02,20251119_161645.jpg,front,,
66,r02,20251119_161646_016_saved.jpg,front,,
67,r02,20251119_161652_018_saved.jpg,front,,
68,r02,20251119_161652_068_saved.jpg,front,,
69,r02,20251119_161652_069_saved.jpg,front,,
70,r02,20251119_161652_080_saved.jpg,front,,
71,r02,20251119_161652_081_saved.jpg,front,,
72,r03,20251119_161750_001_saved.jpg,front,,
73,r03,20251119_161750_002_saved.jpg,front,,
74,r03,20251119_161750_003_saved.jpg,front,,
75,r03,20251119_161750_004_saved.jpg,front,,
76,r03,20251119_161750_014_saved.jpg,front,,
77,r03,20251119_161750_015_saved.jpg,front,,
78,r03,20251119_161750_016_saved.jpg,front,,
79,r03,20251119_161750_017_saved.jpg,front,,
80,r03,20251119_161750_027_saved.jpg,front,,
81,r03,20251119_161750_028_saved.jpg,front,,
82,r03,20251119_161750_029_saved.jpg,front,,
83,r03,20251119_161750_030_saved.jpg,front,,
84,r03,20251119_161750_040_saved.jpg,front,,
85,r03,20251119_161750_041_saved.jpg,front,,
86,r03,20251119_161750_042_saved.jpg,front,,
87,r03,20251119_161750_043_saved.jpg,front,,
88,r03,20251119_161750_053_saved.jpg,front,,
89,r03,20251119_161750_054_saved.jpg,front,,
90,r03,20251119_161750_055_saved.jpg,front,,
91,r03,20251119_161750_056_saved.jpg,front,,
92,r03,20251119_161750_057_saved.jpg,front,,
93,r03,20251119_161750_058_saved.jpg,front,,
94,r03,20251119_161750_059_saved.jpg,front,,
95,r03,20251119_161750_060_saved.jpg,front,,
96,r04,20251119_161750_090_saved.jpg,front,,
97,r04,20251119_161750_091_saved.jpg,front,,
98,r04,20251119_161750_092_saved.jpg,front,,
99,r04,20251119_161750_093_saved.jpg,front,,
100,r04,20251119_162002.jpg,front,,
