class,filename,gt_position,pred_position
1_approach,20260831_201028.jpg,2,-0.66
1_approach,20260823_161654.jpg,-2,0.33
1_approach,20260812_205543.jpg,-2,0.19
2_front,20251119_132013_100_saved.jpg,2,-0.11
1_approach,20251119_163652.jpg,2,-0.10
3_left,left (210).jpg,-2,0.10
1_approach,20260821_193222.jpg,-2,0.09
1_approach,20260824_195908.jpg,2,-0.08
4_right,20260724_201403.jpg,2,-0.07
1_approach,20260831_201123.jpg,-2,0.00
2_front,20260819_122945.jpg,2,0.02
1_approach,20260831_201012.jpg,2,0.02
1_approach,20251120_165640_001_saved.jpg,2,0.03
1_approach,20260831_200625.jpg,-2,-0.04
3_left,20260731_015603.jpg,2,0.05
1_approach,20260831_201252.jpg,-2,-0.06
1_approach,20260803_203912.jpg,-2,-0.08
1_approach,20260824_200238.jpg,-2,-0.16
3_left,20260722_133731.jpg,2,0.17
1_approach,20251119_155329.jpg,2,0.18
1_approach,20260823_142756.jpg,-2,-0.21
1_approach,20260823_160850.jpg,-2,-0.23
3_left,20260731_014014.jpg,2,0.24
1_approach,20260831_201415.jpg,-2,-0.24
4_right,20260809_173921.jpg,-2,-0.25
3_left,20260731_020211.jpg,2,0.27
1_approach,left (1).jpg,2,0.27
4_right,20260907_210721.jpg,2,0.27
1_approach,20260823_160522.jpg,-2,-0.35
1_approach,left (2639).jpg,2,0.36
1_approach,20260831_201310.jpg,2,0.37
1_approach,20260828_104616.jpg,2,0.39
1_approach,20260812_205406.jpg,-2,-0.40
1_approach,20260731_014434.jpg,2,0.40
3_left,left (508).jpg,-2,-0.41
1_approach,20260823_160946.jpg,-2,-0.41
1_approach,20260823_143152.jpg,2,0.42
1_approach,20260803_202423.jpg,-2,-0.42
3_left,20260731_022047.jpg,2,0.46
1_approach,20260824_200341.jpg,-2,-0.47
2_front,20260731_022025.jpg,2,0.47
2_front,20251119_163913_009_saved.jpg,-2,-0.48
1_approach,20260827_205637.jpg,-2,-0.49
4_right,20260907_210542.jpg,2,0.49
3_left,20260804_182410.jpg,2,0.51
2_front,20260731_015012.jpg,2,0.54
4_right,20260731_015826.jpg,2,0.55
1_approach,20260828_104220.jpg,-2,-0.55
4_right,20260907_211202.jpg,2,0.56
1_approach,20260831_201434.jpg,-2,-0.57
2_front,20251119_181245.jpg,2,0.59
2_front,20251119_162009_097_saved.jpg,2,0.59
2_front,20251119_155329_100_saved.jpg,2,0.59
1_approach,20260828_103723.jpg,-2,-0.60
1_approach,20260828_104245.jpg,2,0.60
2_front,20251119_163913_069_saved.jpg,-2,-0.62
2_front,20260731_020810.jpg,2,0.63
1_approach,20260724_202646.jpg,-2,-0.64
1_approach,20251119_131145.jpg,2,0.64
2_front,20260731_015823.jpg,2,0.65
1_approach,20260812_205302.jpg,-2,-0.67
1_approach,20260907_210950.jpg,-2,-0.67
2_front,20260731_022107.jpg,-2,-0.68
4_right,right (11).jpg,-2,-0.69
1_approach,20260831_201322.jpg,2,0.70
1_approach,20260828_104632.jpg,-2,-0.70
1_approach,20260823_160802.jpg,2,0.70
1_approach,20260823_162424.jpg,2,0.71
1_approach,20260824_195931.jpg,2,0.72
3_left,20260727_151144.jpg,2,0.72
2_front,20251119_162003_096_saved.jpg,2,0.79
1_approach,20260902_165924.jpg,2,0.80
1_approach,20260828_104135.jpg,2,0.80
1_approach,20260907_205617.jpg,-2,-0.80
1_approach,20260823_162335.jpg,-2,-0.83
4_right,20260731_013423.jpg,-2,-0.83
1_approach,20260831_200231.jpg,-2,-0.87
3_left,left (2630).jpg,-2,-0.91
2_front,20251119_162002.jpg,2,0.92
1_approach,20251119_132007.jpg,2,0.93
2_front,20251119_163716_065_saved.jpg,-2,-0.94
2_front,20260808_000203.jpg,2,0.97
1_approach,20260831_201238.jpg,-2,-0.98
