class,filename,gt_position,pred_position
2_front,20251119_132013_100_saved.jpg,2,-0.11
3_left,left (210).jpg,-2,0.10
4_right,20260724_201403.jpg,2,-0.07
2_front,20260819_122945.jpg,2,0.02
3_left,20260731_015603.jpg,2,0.05
3_left,20260722_133731.jpg,2,0.17
3_left,20260731_014014.jpg,2,0.24
4_right,20260809_173921.jpg,-2,-0.25
3_left,20260731_020211.jpg,2,0.27
4_right,20260907_210721.jpg,2,0.27
3_left,left (508).jpg,-2,-0.41
3_left,20260731_022047.jpg,2,0.46
2_front,20260731_022025.jpg,2,0.47
2_front,20251119_163913_009_saved.jpg,-2,-0.48
4_right,20260907_210542.jpg,2,0.49
3_left,20260804_182410.jpg,2,0.51
2_front,20260731_015012.jpg,2,0.54
4_right,20260731_015826.jpg,2,0.55
4_right,20260907_211202.jpg,2,0.56
2_front,20251119_181245.jpg,2,0.59
2_front,20251119_162009_097_saved.jpg,2,0.59
2_front,20251119_155329_100_saved.jpg,2,0.59
2_front,20251119_163913_069_saved.jpg,-2,-0.62
2_front,20260731_020810.jpg,2,0.63
2_front,20260731_015823.jpg,2,0.65
2_front,20260731_022107.jpg,-2,-0.68
4_right,right (11).jpg,-2,-0.69
3_left,20260727_151144.jpg,2,0.72
2_front,20251119_162003_096_saved.jpg,2,0.79
4_right,20260731_013423.jpg,-2,-0.83
3_left,left (2630).jpg,-2,-0.91
2_front,20251119_162002.jpg,2,0.92
2_front,20251119_163716_065_saved.jpg,-2,-0.94
2_front,20260808_000203.jpg,2,0.97
